"Age","Country","Edu","Title","CompSize","DSPeople","CompML","Compensation","YOE","RecPL","YOE_ML","DSCourse","PLNo","VisualNo","HardwareNo","CloudPlatformNo","DatabaseNo"
"30-34","Japan","Master’s degree","Data Scientist","0-49 employees","10-14","We are exploring ML methods (and may one day put a model into production)","7,500-9,999","5-10 years","Python","2-3 years",4,2,2,2,0,1
"25-29","Other","Master’s degree","Data Analyst","1000-9,999 employees","5-9","No (we do not use ML methods)","$0-999","1-2 years","C++","< 1 years",1,3,3,1,0,0
"30-34","United States of America","Master’s degree","Research Scientist","> 10,000 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999","5-10 years","Python","3-4 years",4,3,3,2,3,6
"22-24","Brazil","Bachelor’s degree","Data Scientist","> 10,000 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","1-2 years","Python","2-3 years",7,2,3,2,1,1
"25-29","India","Bachelor’s degree","Other","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999","3-5 years","R","3-4 years",5,2,6,2,2,2
"35-39","South Korea","Master’s degree","Data Analyst","50-249 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","1-2 years","Python","1-2 years",4,2,1,1,1,2
"25-29","Brazil","Master’s degree","Data Analyst","250-999 employees","0","We are exploring ML methods (and may one day put a model into production)","25,000-29,999","3-5 years","Python","1-2 years",2,3,1,1,0,2
"35-39","France","Master’s degree","Data Engineer","> 10,000 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","< 1 years","Python","< 1 years",2,1,0,1,0,0
"30-34","United States of America","Doctoral degree","Product/Project Manager","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999","10-20 years","Python","5-10 years",2,2,3,1,2,2
"25-29","India","Bachelor’s degree","Software Engineer","50-249 employees","1-2","We are exploring ML methods (and may one day put a model into production)","5,000-7,499","1-2 years","Python","1-2 years",5,3,1,1,2,3
"35-39","Belarus","Master’s degree","Software Engineer","> 10,000 employees","20+","We are exploring ML methods (and may one day put a model into production)","3,000-3,999","1-2 years","None","1-2 years",1,1,1,1,0,0
"25-29","India","Bachelor’s degree","DBA/Database Engineer","50-249 employees","3-4","No (we do not use ML methods)","2,000-2,999","3-5 years","Python","< 1 years",4,1,0,1,0,1
"22-24","India","Bachelor’s degree","Software Engineer","50-249 employees","0","No (we do not use ML methods)","10,000-14,999","1-2 years","Python","1-2 years",5,3,1,2,0,0
"25-29","India","Master’s degree","Data Engineer","> 10,000 employees","3-4","We are exploring ML methods (and may one day put a model into production)","10,000-14,999","3-5 years","Python","< 1 years",0,3,0,1,0,0
"25-29","Nigeria","Master’s degree","Data Analyst","50-249 employees","5-9","No (we do not use ML methods)","$0-999","< 1 years","SQL","2-3 years",0,0,0,1,0,0
"35-39","United Kingdom of Great Britain and Northern Ireland","Bachelor’s degree","Software Engineer","0-49 employees","0","No (we do not use ML methods)","40,000-49,999","5-10 years","Python","1-2 years",2,3,2,1,2,2
"30-34","Sweden","Master’s degree","Data Analyst","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","1-2 years","Python","3-4 years",3,3,3,2,2,3
"35-39","United States of America","Bachelor’s degree","Data Scientist","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","5-10 years","Python","5-10 years",3,2,2,2,1,1
"25-29","India","Bachelor’s degree","Business Analyst","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999","3-5 years","R","2-3 years",2,3,3,2,0,0
"30-34","Germany","Master’s degree","Data Engineer","1000-9,999 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","1-2 years","Python","1-2 years",5,5,4,2,2,3
"25-29","Germany","Bachelor’s degree","Data Scientist","250-999 employees","5-9","We use ML methods for generating insights (but do not put working models into production)","60,000-69,999","3-5 years","Python","1-2 years",1,2,1,1,0,0
"25-29","India","Some college/university study without earning a bachelor’s degree","Data Analyst","> 10,000 employees","5-9","No (we do not use ML methods)","$0-999","< 1 years","Python","< 1 years",0,3,3,1,0,1
"45-49","India","Doctoral degree","Data Analyst","50-249 employees","1-2","No (we do not use ML methods)","2,000-2,999","3-5 years","Other","3-4 years",1,2,1,1,0,4
"40-44","India","Master’s degree","Other","> 10,000 employees","20+","I do not know","1,000-1,999","< 1 years","Python","< 1 years",0,1,2,2,0,2
"30-34","United States of America","Master’s degree","Other","> 10,000 employees","20+","We are exploring ML methods (and may one day put a model into production)","150,000-199,999","3-5 years","R","4-5 years",6,2,2,1,0,0
"35-39","Mexico","Master’s degree","Data Scientist","> 10,000 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","1-2 years","Python","1-2 years",2,1,2,1,1,0
"30-34","United States of America","Bachelor’s degree","Data Analyst","250-999 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","3-5 years","SQL","2-3 years",2,3,2,1,2,2
"22-24","France","Master’s degree","Data Scientist","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","40,000-49,999","1-2 years","Python","1-2 years",2,2,4,1,1,1
"35-39","United Kingdom of Great Britain and Northern Ireland","Doctoral degree","Research Scientist","> 10,000 employees","15-19","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","1-2 years","Python","< 1 years",4,2,1,2,0,0
"40-44","Other","Master’s degree","Other","1000-9,999 employees","1-2","No (we do not use ML methods)","15,000-19,999","3-5 years","Python","1-2 years",3,2,2,1,0,0
"25-29","United States of America","Master’s degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999","5-10 years","Python","5-10 years",3,2,3,3,1,3
"18-21","Russia","Bachelor’s degree","Data Scientist","1000-9,999 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","1-2 years","Python","1-2 years",2,2,3,2,0,1
"22-24","India","Bachelor’s degree","Software Engineer","1000-9,999 employees","20+","I do not know","15,000-19,999","1-2 years","Python","1-2 years",2,3,1,1,0,0
"30-34","India","Bachelor’s degree","Data Scientist","> 10,000 employees","10-14","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","3-5 years","Python","3-4 years",3,4,1,1,0,0
"22-24","Australia","Master’s degree","Software Engineer","50-249 employees","3-4","No (we do not use ML methods)","50,000-59,999","1-2 years","Python","< 1 years",1,3,2,2,0,0
"30-34","India","Master’s degree","Other","0-49 employees","1-2","I do not know","$0-999","< 1 years","Python","< 1 years",0,6,1,1,0,0
"35-39","Japan","Doctoral degree","Research Scientist","250-999 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999","1-2 years","R","1-2 years",2,2,1,1,0,0
"35-39","Canada","Doctoral degree","Research Scientist","1000-9,999 employees","20+","We use ML methods for generating insights (but do not put working models into production)","125,000-149,999","10-20 years","Python","10-15 years",1,4,4,2,2,4
"30-34","Portugal","Doctoral degree","Data Scientist","1000-9,999 employees","15-19","We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999","5-10 years","Python","5-10 years",2,2,1,1,0,0
"25-29","United States of America","Master’s degree","Data Engineer","50-249 employees","5-9","We are exploring ML methods (and may one day put a model into production)","70,000-79,999","1-2 years","Python","1-2 years",7,2,1,2,0,0
"25-29","Russia","Bachelor’s degree","Software Engineer","50-249 employees","1-2","No (we do not use ML methods)","1,000-1,999","1-2 years","SQL","< 1 years",4,2,1,1,0,2
"30-34","Canada","Master’s degree","Business Analyst","1000-9,999 employees","3-4","We are exploring ML methods (and may one day put a model into production)","70,000-79,999","3-5 years","R","1-2 years",3,1,1,1,0,1
"30-34","United States of America","Master’s degree","Data Engineer","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","3-5 years","Python","1-2 years",6,2,3,1,1,3
"22-24","France","Master’s degree","Data Scientist","0-49 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","1-2 years","Python","2-3 years",1,3,3,1,1,3
"22-24","United States of America","Master’s degree","Data Scientist","0-49 employees","3-4","We are exploring ML methods (and may one day put a model into production)","125,000-149,999","< 1 years","Python","< 1 years",5,4,4,2,1,2
"30-34","Canada","Doctoral degree","Research Scientist","0-49 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","60,000-69,999","5-10 years","Python","4-5 years",3,3,2,2,0,0
"25-29","Poland","Master’s degree","Research Scientist","50-249 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","5-10 years","Python","1-2 years",3,1,3,2,1,0
"22-24","Indonesia","Master’s degree","Data Engineer","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","$0-999","1-2 years","Python","1-2 years",1,1,3,1,0,2
"35-39","Netherlands","I prefer not to answer","Software Engineer","50-249 employees","3-4","We are exploring ML methods (and may one day put a model into production)","40,000-49,999","1-2 years","Python","1-2 years",1,2,1,1,0,0
"30-34","Italy","Some college/university study without earning a bachelor’s degree","Data Scientist","0-49 employees","1-2","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","1-2 years","Python","1-2 years",6,2,2,2,2,1
"45-49","France","Master’s degree","Software Engineer","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","90,000-99,999","< 1 years","Python","1-2 years",1,8,1,2,2,2
"22-24","India","Bachelor’s degree","Software Engineer","> 10,000 employees","20+","I do not know","4,000-4,999","3-5 years","Python","< 1 years",2,4,2,2,0,2
"22-24","Brazil","Bachelor’s degree","Business Analyst","50-249 employees","1-2","No (we do not use ML methods)","10,000-14,999","1-2 years","SQL","< 1 years",3,3,1,1,0,0
"30-34","United States of America","Master’s degree","Business Analyst","0-49 employees","1-2","No (we do not use ML methods)","50,000-59,999","1-2 years","Python","< 1 years",4,2,2,1,2,0
"30-34","India","Bachelor’s degree","Business Analyst","50-249 employees","5-9","I do not know","10,000-14,999","1-2 years","Python","1-2 years",5,3,3,1,1,2
"25-29","Czech Republic","Master’s degree","Research Scientist","1000-9,999 employees","10-14","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","1-2 years","Python","4-5 years",1,2,2,1,0,0
"35-39","United States of America","Master’s degree","Data Scientist","50-249 employees","1-2","We are exploring ML methods (and may one day put a model into production)","200,000-249,999","3-5 years","SQL","5-10 years",2,4,1,1,0,0
"25-29","Other","Master’s degree","Software Engineer","0-49 employees","0","No (we do not use ML methods)","$0-999","< 1 years","Python","< 1 years",5,6,2,2,0,0
"22-24","Pakistan","Bachelor’s degree","Software Engineer","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","4,000-4,999","< 1 years","Python","< 1 years",1,1,3,1,0,0
"50-54","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Engineer","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","60,000-69,999","10-20 years","R","1-2 years",3,3,3,2,1,4
"30-34","United States of America","Master’s degree","Data Scientist","50-249 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999","3-5 years","Python","3-4 years",5,3,3,1,2,4
"30-34","United States of America","Master’s degree","Data Engineer","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","10-20 years","Python","3-4 years",0,2,2,1,1,3
"35-39","Sweden","Doctoral degree","Data Scientist","> 10,000 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","5-10 years","Python","3-4 years",2,1,3,1,1,1
"25-29","United States of America","Master’s degree","Data Analyst","250-999 employees","3-4","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999","3-5 years","Python","1-2 years",7,3,4,1,1,2
"25-29","India","Master’s degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999","3-5 years","Python","3-4 years",2,1,2,2,0,0
"45-49","India","I prefer not to answer","Other","50-249 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999","1-2 years","R","1-2 years",1,2,1,1,1,1
"25-29","Spain","Master’s degree","Data Scientist","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","3-5 years","SQL","4-5 years",2,4,1,1,1,1
"35-39","Russia","Professional degree","Data Scientist","50-249 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","10-20 years","Python","1-2 years",3,2,4,2,1,1
"25-29","Other","Doctoral degree","Software Engineer","0-49 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","$0-999","1-2 years","Python","1-2 years",2,3,3,1,3,1
"40-44","India","Master’s degree","Data Engineer","> 10,000 employees","10-14","We use ML methods for generating insights (but do not put working models into production)","> $500,000","5-10 years","Python","1-2 years",2,4,2,2,3,4
"25-29","United States of America","Master’s degree","Data Scientist","50-249 employees","1-2","We are exploring ML methods (and may one day put a model into production)","80,000-89,999","3-5 years","Python","3-4 years",2,2,1,1,0,0
"30-34","United States of America","Doctoral degree","Data Scientist","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999","5-10 years","Python","4-5 years",0,2,6,2,1,2
"22-24","Pakistan","Master’s degree","Data Scientist","50-249 employees","10-14","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","1-2 years","Python","1-2 years",4,1,3,1,0,2
"25-29","Chile","Master’s degree","Data Scientist","0-49 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","25,000-29,999","3-5 years","Python","2-3 years",4,1,2,2,0,0
"22-24","France","Master’s degree","Software Engineer","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","1-2 years","Python","1-2 years",1,2,4,3,2,4
"18-21","India","Bachelor’s degree","Software Engineer","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999","1-2 years","Python","1-2 years",1,4,3,1,2,4
"45-49","Hong Kong (S.A.R.)","Professional degree","Data Analyst","> 10,000 employees","1-2","No (we do not use ML methods)","300,000-500,000","3-5 years","R","1-2 years",3,2,2,1,0,0
"30-34","Mexico","Master’s degree","Software Engineer","50-249 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999","1-2 years","R","< 1 years",4,4,2,2,0,0
"25-29","India","Master’s degree","Software Engineer","250-999 employees","20+","We are exploring ML methods (and may one day put a model into production)","25,000-29,999","3-5 years","Python","< 1 years",2,5,1,1,1,2
"50-54","Spain","Doctoral degree","Research Scientist","1000-9,999 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","20+ years","Python","20+ years",0,2,1,2,0,0
"18-21","India","Master’s degree","Data Scientist","> 10,000 employees","15-19","We have well established ML methods (i.e., models in production for more than 2 years)","4,000-4,999","3-5 years","Python","1-2 years",3,2,2,1,1,1
"25-29","South Africa","Bachelor’s degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999","1-2 years","Python","1-2 years",0,4,3,2,2,2
"40-44","India","Master’s degree","Data Scientist","> 10,000 employees","5-9","We use ML methods for generating insights (but do not put working models into production)","40,000-49,999","3-5 years","Python","2-3 years",1,3,2,1,2,3
"60-69","United States of America","Master’s degree","Software Engineer","1000-9,999 employees","3-4","No (we do not use ML methods)","100,000-124,999","20+ years","Python","< 1 years",1,4,1,1,2,4
"45-49","Argentina","Professional degree","Data Analyst","1000-9,999 employees","20+","We are exploring ML methods (and may one day put a model into production)","15,000-19,999","5-10 years","SQL","< 1 years",0,1,1,1,0,0
"25-29","Turkey","Doctoral degree","Data Scientist","1000-9,999 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","1,000-1,999","5-10 years","SQL","5-10 years",6,2,6,1,2,2
"55-59","United States of America","Bachelor’s degree","Software Engineer","> 10,000 employees","3-4","I do not know","150,000-199,999","10-20 years","C++","< 1 years",0,2,0,1,0,0
"30-34","Ireland","Master’s degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","1-2 years","Python","1-2 years",6,4,1,1,2,3
"55-59","France","Master’s degree","Research Scientist","1000-9,999 employees","0","We are exploring ML methods (and may one day put a model into production)","125,000-149,999","3-5 years","R","1-2 years",0,6,1,2,2,2
"25-29","India","Master’s degree","Business Analyst","0-49 employees","5-9","We are exploring ML methods (and may one day put a model into production)","$0-999","3-5 years","Python","< 1 years",0,2,1,1,1,2
"35-39","Portugal","Master’s degree","Software Engineer","250-999 employees","3-4","We are exploring ML methods (and may one day put a model into production)","20,000-24,999","5-10 years","Python","1-2 years",2,4,4,1,1,2
"40-44","United Kingdom of Great Britain and Northern Ireland","Bachelor’s degree","Software Engineer","0-49 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","3-5 years","Python","1-2 years",1,4,2,1,0,3
"22-24","India","Master’s degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999","1-2 years","Python","1-2 years",3,2,2,2,2,4
"45-49","United States of America","Master’s degree","Statistician","> 10,000 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","200,000-249,999","10-20 years","Python","< 1 years",3,2,2,1,1,0
"22-24","Pakistan","Bachelor’s degree","Data Scientist","1000-9,999 employees","3-4","We use ML methods for generating insights (but do not put working models into production)","7,500-9,999","3-5 years","Python","1-2 years",2,3,3,2,0,1
"30-34","United States of America","I prefer not to answer","Data Analyst","250-999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","3-5 years","Python","< 1 years",5,2,2,1,0,0
"40-44","Brazil","Professional degree","Statistician","> 10,000 employees","1-2","We are exploring ML methods (and may one day put a model into production)","30,000-39,999","5-10 years","R","2-3 years",2,2,2,1,0,0
"35-39","Israel","Bachelor’s degree","Other","50-249 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","10-20 years","Python","10-15 years",0,0,0,2,1,1
"35-39","Russia","Bachelor’s degree","Software Engineer","0-49 employees","1-2","No (we do not use ML methods)","30,000-39,999","< 1 years","SQL","< 1 years",2,2,0,1,0,1
"30-34","Nigeria","Bachelor’s degree","Research Scientist","1000-9,999 employees","20+","No (we do not use ML methods)","5,000-7,499","< 1 years","Python","< 1 years",2,1,2,1,1,1
"18-21","India","Bachelor’s degree","Data Scientist","1000-9,999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999","3-5 years","Python","3-4 years",2,1,3,2,1,1
"25-29","Japan","Bachelor’s degree","Software Engineer","1000-9,999 employees","1-2","No (we do not use ML methods)","3,000-3,999","1-2 years","Python","1-2 years",0,2,2,2,0,0
"35-39","United States of America","Master’s degree","Data Scientist","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","5-10 years","Python","5-10 years",0,1,2,1,1,2
"35-39","Other","Master’s degree","Data Scientist","250-999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","5-10 years","Python","5-10 years",2,1,3,2,1,1
"35-39","Italy","Doctoral degree","Other","250-999 employees","5-9","We use ML methods for generating insights (but do not put working models into production)","125,000-149,999","10-20 years","Python","2-3 years",0,2,1,2,1,1
"30-34","Italy","Master’s degree","Data Scientist","> 10,000 employees","10-14","We are exploring ML methods (and may one day put a model into production)","40,000-49,999","3-5 years","Python","4-5 years",3,2,3,1,1,1
"25-29","France","Master’s degree","Data Scientist","0-49 employees","1-2","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","3-5 years","Python","3-4 years",1,2,2,1,1,3
"30-34","Ukraine","Bachelor’s degree","Software Engineer","0-49 employees","1-2","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","3-5 years","Python","2-3 years",1,2,1,2,0,0
"25-29","India","Master’s degree","Data Scientist","250-999 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999","1-2 years","Python","< 1 years",1,5,4,2,2,5
"25-29","Japan","Master’s degree","Data Scientist","0-49 employees","5-9","We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499","1-2 years","Python","1-2 years",5,1,3,1,1,0
"35-39","Russia","Professional degree","Product/Project Manager","50-249 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","3-5 years","Python","4-5 years",4,5,4,2,2,3
"35-39","Taiwan","Master’s degree","Product/Project Manager","50-249 employees","1-2","No (we do not use ML methods)","$0-999","< 1 years","Python","< 1 years",5,2,2,1,0,0
"22-24","United States of America","Bachelor’s degree","Data Scientist","250-999 employees","5-9","We use ML methods for generating insights (but do not put working models into production)","70,000-79,999","3-5 years","SQL","1-2 years",2,3,2,1,0,0
"70+","Other","Doctoral degree","Research Scientist","0-49 employees","0","I do not know","$0-999","3-5 years","None","10-15 years",0,1,0,1,0,0
"22-24","India","I prefer not to answer","Software Engineer","0-49 employees","1-2","I do not know","1,000-1,999","< 1 years","R","< 1 years",1,2,2,2,0,1
"45-49","Other","Doctoral degree","Research Scientist","250-999 employees","0","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999","20+ years","Python","10-15 years",0,3,1,2,0,1
"30-34","Egypt","Master’s degree","Data Scientist","0-49 employees","1-2","No (we do not use ML methods)","$0-999","1-2 years","Python","1-2 years",1,1,1,1,0,1
"25-29","Brazil","Master’s degree","Software Engineer","50-249 employees","0","We are exploring ML methods (and may one day put a model into production)","20,000-24,999","3-5 years","Python","< 1 years",1,3,4,2,0,1
"22-24","Brazil","Bachelor’s degree","Data Scientist","250-999 employees","10-14","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999","1-2 years","SQL","< 1 years",4,2,2,1,2,0
"30-34","Russia","Doctoral degree","Data Scientist","0-49 employees","3-4","We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","5-10 years","Python","5-10 years",1,2,1,2,1,0
"40-44","United States of America","Master’s degree","Data Scientist","0-49 employees","3-4","We are exploring ML methods (and may one day put a model into production)","125,000-149,999","20+ years","Python","2-3 years",3,3,4,1,2,3
"50-54","Brazil","Doctoral degree","Product/Project Manager","0-49 employees","3-4","We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499","20+ years","Python","4-5 years",1,6,2,2,6,9
"25-29","Ukraine","Bachelor’s degree","Software Engineer","50-249 employees","15-19","We recently started using ML methods (i.e., models in production for less than 2 years)","$0-999","< 1 years","Python","< 1 years",2,3,0,2,0,0
"25-29","United States of America","Master’s degree","Data Scientist","250-999 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","125,000-149,999","5-10 years","SQL","2-3 years",6,3,1,1,0,1
"25-29","Morocco","Doctoral degree","Statistician","> 10,000 employees","5-9","I do not know","$0-999","3-5 years","Python","4-5 years",6,3,2,1,0,2
"25-29","Canada","Master’s degree","Data Scientist","0-49 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","5-10 years","Python","2-3 years",2,1,2,2,0,0
"25-29","Canada","Master’s degree","Data Scientist","250-999 employees","10-14","We use ML methods for generating insights (but do not put working models into production)","70,000-79,999","3-5 years","Python","4-5 years",2,1,3,1,0,0
"22-24","United States of America","Master’s degree","Business Analyst","> 10,000 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","< 1 years","Python","< 1 years",3,2,2,2,0,2
